action,access number,name,location,on view status
add,59.48,Stater of Euboian League with bull ,212C,TRUE
add,60.1151,Sela (tetradrachm) with screen of Tabernacle ,212C,TRUE
add,61.163,Stater of Soloi or Mallos with head of Herakles ,212C,TRUE
add,62.1139,"Stater of Lycia with crouching lion, struck under TÌ_nÌ_gurÌ_ ",110,TRUE
add,62.577,Distater of Dikaia with head of Herakles ,212C,TRUE
add,63.478,Stater of Caria with winged female figure ,212C,TRUE
add,64.1307,"Coin of Kingdom of Bithynia with head of Dionysos, struck under Prousias II ",212C,TRUE
add,97.441,"Tetradrachm of Athens with head of Athena Parthenos, struck under Hera[...], Aristoph[...], and Philan[...] ",212C,TRUE
add,4.389,Stater of Kroton with tripod ,212C,TRUE
add,1988.223,Trihemistater (1 1/2 shekel) of Carthage with head of Persephone-Tanit ,212C,TRUE
add,97.381,Drachm of Zankle with dolphin ,113,TRUE
add,65.871,20as coin of Populonia with head of a gorgon ,212C,TRUE
add,72.751,Shawabty of Qaha ,109,TRUE
add,72.4267,Model vessel ,109,TRUE
add,72.4268,Model vessel ,109,TRUE
add,72.4269,Model vessel ,109,TRUE
add,72.4902,Shawabty of Huy ,109,TRUE
add,00.690a-b,Naos of Menmaatre-em-heb ,109,TRUE
add,0.699,"Shawabty of the High Priest of Osiris, Tjay ",109,TRUE
add,9.286,Head of Viceroy Merymose from his middle sarcophagus ,109,TRUE
add,44.3,Shouldered jar with vertical handles (amphora) ,109,TRUE
add,48.1286a-b,Canopic jar ,109,TRUE
add,48.1287a-b,Canopic jar ,109,TRUE
add,48.1288a-b,Canopic jar ,109,TRUE
add,48.1289a-b,Canopic jar ,109,TRUE
